prozent	percent
8@@ 0ern	8@@ 0s
ge@@ dichte	po@@ em@@ s
er@@ forschung	exploration
fe@@ hlt	missing
behand@@ lungen	treat@@ ments
liefern	deliver
gemein@@ samen	shared
toler@@ anz	toler@@ ance
ku@@ gel	sphere
mil@@ ch@@ straße	mil@@ ky
un@@ bekannte	un@@ known
spezi@@ fische	specific
erneu@@ er@@ bare	rene@@ w@@ able
ir@@ land	ir@@ eland
grün@@ der	fo@@ under
ver@@ haf@@ tet	ar@@ re@@ sted
ge@@ fangen	caught
sitz	seat
interak@@ tionen	inter@@ actions
selbst@@ mor@@ d	su@@ i@@ cide
identi@@ sch	iden@@ tical
durch@@ bruch	break@@ through
hei@@ raten	mar@@ ry
au@@ st@@ aus@@ ch	exchange
mu@@ ta@@ tionen	mu@@ tations
partner@@ schaft	partner@@ ship
gesam@@ melt	colle@@ cted
symme@@ tri@@ en	symme@@ tries
li@@ b@@ ellen	dra@@ gon@@ flies
wohl@@ tä@@ tigkeit	char@@ ity
geschafft	managed
er@@ fordert	requires
aus@@ nahmen	ex@@ cep@@ tions
min@@ der@@ heit	min@@ ority
ma@@ hl@@ zeit	me@@ al
un@@ erwar@@ tete	un@@ expected
t@@ eller	pla@@ te
sch@@ langen	sna@@ kes
wahr@@ nehmen	percei@@ ve
macher	makers
techn@@ isch	techni@@ cally
sel@@ ten@@ e	rare
su@@ ppe	sou@@ p
mechan@@ ische	mechan@@ ical
glü@@ h@@ bir@@ nen	bul@@ bs
iso@@ liert	isol@@ ated
entwickelten	evolved
beob@@ acht@@ ungen	obser@@ va@@ tions
spiel@@ zeug	to@@ y
geri@@ cht	court
hand@@ gelen@@ k	wr@@ ist
trans@@ for@@ mieren	transform
stü@@ hle	cha@@ irs
aus@@ gesetzt	ex@@ posed
p@@ fa@@ d	path
abhängi@@ gkeit	depen@@ dence
an@@ passen	ada@@ pt
grö@@ n@@ land	green@@ land
wie@@ gt	wei@@ gh@@ s
hil@@ frei@@ ch	hel@@ p@@ ful
vari@@ ationen	vari@@ ations
spielte	playing
tru@@ ppen	tro@@ ops
bru@@ ch@@ teil	fra@@ ction
hon@@ ig	hon@@ ey
hei@@ mat@@ stadt	home@@ town
de@@ pri@@ miert	depres@@ sed
läuft	running
athei@@ sten	athei@@ sts
untersuchen	studying
rus@@ sischen	russi@@ an
finan@@ ziert	fund@@ ed
band@@ breite	band@@ wid@@ th
ausge@@ storben	extin@@ ct
ultra@@ sch@@ all	ul@@ tr@@ as@@ o@@ und
berech@@ nungen	calcu@@ lations
l@@ ein@@ wand	can@@ v@@ as
fr@@ ö@@ sche	fro@@ gs
gefragt	wonder@@ ed
köni@@ grei@@ ch	king@@ dom
ang@@ riff	attack
inse@@ kt	inse@@ ct
herausgefunden	figured
versteht	under@@ stands
gehören	bel@@ ong
th@@ un@@ fisch	tun@@ a
mitarbeiter	staf@@ f
gewä@@ hlt	ele@@ cted
ruf	repu@@ tation
impf@@ stoffe	vac@@ cin@@ es
hält	holding
schul@@ tern	shoul@@ ders
wa@@ sch@@ maschine	was@@ hing
besit@@ zer	ow@@ ner
un@@ end@@ liche	infin@@ ite
ko@@ sm@@ ischen	co@@ s@@ mic
rau@@ chen	smo@@ king
dra@@ ht@@ lose	wir@@ eless
fla@@ schen	bot@@ tles
züge	tra@@ ins
visi@@ onen	visi@@ ons
überqu@@ eren	cross
aktivi@@ sten	activi@@ sts
tre@@ ppe	sta@@ ir@@ case
kam@@ el	cam@@ el
hü@@ fte	hi@@ p
kontrolli@@ ert	contro@@ ls
inti@@ mit@@ ät	inti@@ ma@@ cy
über@@ wachen	monit@@ or
identi@@ fiziert	identi@@ fied
par@@ k@@ platz	par@@ king
gew@@ inn	profit
ökon@@ om	econom@@ ist
trin@@ k@@ wasser	drin@@ king
kom@@ mer@@ zi@@ elle	commercial
wieder@@ holen	repe@@ at
begeg@@ nung	en@@ counter
fotogra@@ fen	photogra@@ pher@@ s
l@@ ücken	g@@ ap@@ s
pil@@ ze	mush@@ rooms
entwerfen	designing
erklär@@ ungen	explan@@ ations
wurz@@ el	ro@@ ot
intensi@@ tät	inten@@ sity
mü@@ n@@ ze	co@@ in
fing@@ ern	fing@@ ers
angeb@@ oten	off@@ ered
erneu@@ er@@ baren	rene@@ w@@ ables
haus@@ halt	hou@@ se@@ hold
nach@@ bar	neighb@@ or
sti@@ ck@@ stoff	ni@@ tro@@ gen
ange@@ passt	adap@@ ted
authenti@@ zität	auth@@ en@@ tic@@ ity
platt@@ formen	plat@@ forms
ein@@ laden	invi@@ te
stör@@ ungen	dis@@ orders
flie@@ ßen	flow
demon@@ stri@@ eren	demon@@ strate
5@@ 0ern	5@@ 0s
ma@@ hl@@ zeiten	me@@ als
bele@@ u@@ chtung	ligh@@ ting
freund@@ schaft	friend@@ ship
histor@@ ischen	histor@@ ical
über@@ zeug@@ ungen	belie@@ fs
tä@@ glichen	daily
ver@@ sagt	failed
visu@@ alisierung	visu@@ alization
gingen	walked
stur@@ m	stor@@ m
be@@ graben	bu@@ ried
handlungen	actions
ge@@ worfen	thro@@ wn
büro@@ s	off@@ ices
syn@@ the@@ tische	syn@@ thetic
all@@ gegenwär@@ tig	u@@ bi@@ qu@@ it@@ ous
absicht	in@@ tent
un@@ klar	un@@ clear
ra@@ ke@@ ten	rock@@ ets
berg@@ stei@@ ger	clim@@ bers
infe@@ ktionen	infe@@ ctions
pfer@@ de	hor@@ ses
schnell@@ ste	fa@@ st@@ est
technolog@@ ische	technologi@@ cal
hö@@ he@@ punkt	peak
akzep@@ tanz	accep@@ tan@@ ce
versch@@ win@@ det	disappe@@ ars
mu@@ seen	muse@@ ums
erweitern	exp@@ and
gramm	gra@@ m
inspiri@@ er@@ end	in@@ spir@@ ing
schöpf@@ ung	creation
tra@@ ge	wearing
dritt@@ ens	thir@@ dly
beein@@ dru@@ ckt	impres@@ sed
krei@@ sl@@ auf	cycle
ge@@ sto@@ hlen	stol@@ en
akzep@@ tiert	accep@@ ted
revol@@ u@@ tionen	revol@@ u@@ tions
nor@@ wegen	nor@@ way
te@@ pp@@ ich	car@@ pet
stati@@ stisch	statisti@@ cally
me@@ tern	meters
kre@@ atur	cre@@ ature
ge@@ for@@ mt	sha@@ ped
sp@@ uren	tra@@ ces
kurze	quick
ang@@ ri@@ ffe	attac@@ ks
ver@@ trag	contra@@ ct
übertragen	trans@@ mit
flie@@ gt	flies
erlaub@@ te	allowed
schw@@ ein	pi@@ g
integri@@ tät	integri@@ ty
winkel	angle
sch@@ lau@@ er	smar@@ ter
regel@@ mäßig	regul@@ arly
ei@@ sen	ir@@ on
schul@@ den	de@@ bt
tem@@ pel	temp@@ le
kan@@ di@@ daten	can@@ di@@ dat@@ es
sich@@ eren	safe
druck@@ er@@ presse	prin@@ ting
blin@@ d@@ heit	blin@@ dness
mess@@ ungen	measu@@ re@@ ments
pro@@ stat@@ ak@@ re@@ bs	pro@@ state
hoffen	hop@@ ing
rück@@ en@@ mark	spin@@ al
lang@@ le@@ bi@@ gkeit	lon@@ ge@@ vi@@ ty
schwa@@ ch	we@@ ak
stoff@@ wechsel	me@@ tab@@ oli@@ s@@ m
journ@@ alismus	journ@@ alism
span@@ isch	span@@ ish
au@@ toren	auth@@ ors
k@@ äf@@ er	be@@ et@@ le
myster@@ ium	myster@@ y
meer@@ wasser	se@@ a@@ water
be@@ vorzu@@ gen	pre@@ fer
aufnahme	recor@@ ding
nahr@@ ungsk@@ ette	chain
weiter@@ gegeben	passed
bedro@@ h@@ ungen	thre@@ ats
ab@@ sichten	inten@@ tions
zeich@@ nung	drawing
spezi@@ alisten	speci@@ alists
verbesser@@ ungen	impro@@ v@@ ements
an@@ sichten	vie@@ ws
br@@ eit	wide
über@@ lebt	survi@@ ved
son@@ n@@ tag	sun@@ day
dra@@ mati@@ sche	dra@@ matic
ök@@ ologischen	e@@ col@@ o@@ gical
lieb@@ sten	favorite
web@@ seiten	web@@ sites
bau@@ steine	blocks
ide@@ ologie	ide@@ ology
fort@@ schritte	advan@@ ces
erstaunliche	ast@@ on@@ ishing
blut@@ gefä@@ ße	ves@@ sel@@ s
hü@@ hn@@ er	chi@@ ck@@ ens
ein@@ la@@ dung	invi@@ tation
biolog@@ isch	bi@@ ologi@@ cally
sogenan@@ nten	so-@@ called
program@@ mier@@ er	progra@@ mm@@ ers
skep@@ tisch	skep@@ tical
verhältnis	ra@@ ti@@ o
dä@@ ne@@ mark	den@@ mark
gel@@ eg@@ entlich	occasi@@ on@@ ally
rie@@ cht	sm@@ ells
über@@ tra@@ gung	trans@@ mission
verbessert	impro@@ ved
beinhaltet	invol@@ ves
völ@@ ker	peop@@ les
skulp@@ turen	sculp@@ tures
viel@@ zahl	variety
konzent@@ ration	concent@@ ration
verletz@@ ung	in@@ j@@ ury
nan@@ ot@@ echn@@ ologie	nan@@ ot@@ echn@@ ology
qu@@ anten@@ mechan@@ ik	mechan@@ ics
perspe@@ ktiven	perspe@@ c@@ tives
spiel@@ zeuge	to@@ ys
erwachsene	adult
sch@@ welle	th@@ res@@ hold
wär@@ mer	war@@ mer
grund@@ schule	element@@ ary
sü@@ dlichen	southern
schnitt	cut
klas@@ sischen	classi@@ cal
belo@@ hn@@ ungen	re@@ wards
198@@ 0ern	198@@ 0s
schä@@ tzung	esti@@ mate
arab@@ isch	arab@@ ic
diskus@@ sionen	discus@@ sions
ge@@ du@@ ld	pati@@ ence
überprü@@ fen	check
ne@@ tze	nets
an@@ erken@@ nung	recogni@@ tion
b@@ ären	be@@ ars
proto@@ zelle	proto@@ cell
a@@ ßen	ate
infe@@ ktion	infe@@ ction
zufällig	random
ern@@ ten	harv@@ est
hoch@@ zeit	we@@ d@@ ding
verti@@ k@@ ale	ver@@ tical
ir@@ on@@ is@@ cher@@ weise	ir@@ on@@ ically
hil@@ flo@@ s	hel@@ pl@@ ess
finan@@ zieren	fund
spreche	speak
auf@@ gehört	stopped
beglei@@ tet	ac@@ comp@@ ani@@ ed
schlägt	suggests
gi@@ p@@ fel	sum@@ mit
pil@@ z	mush@@ room
angesehen	considered
pe@@ sti@@ zi@@ de	pe@@ sti@@ ci@@ des
ver@@ gewal@@ tigung	ra@@ pe
ins@@ gesam@@ t	total
merk@@ male	fe@@ atures
drei@@ e@@ ck	tri@@ angle
vorher@@ igen	previous
ab@@ ends	ev@@ ening
konz@@ ert	conc@@ ert
therap@@ ien	therap@@ ies
interak@@ tive	inter@@ active
fossi@@ li@@ en	fossi@@ ls
los@@ werden	rid
zu@@ grunde	under@@ lying
ein@@ führung	introdu@@ ction
verwir@@ rt	conf@@ used
wür@@ fel	cu@@ be
flexi@@ bili@@ tät	flexi@@ bility
bestimmt	determin@@ es
auf@@ zeichnungen	recor@@ ds
über@@ wäl@@ tigt	over@@ wh@@ el@@ med
nehme	suppose
durchgeführt	condu@@ cted
produ@@ ktiv	productive
üb@@ ung	exercise
rahmen	frame
kri@@ teri@@ en	cri@@ teri@@ a
betr@@ ü@@ gen	che@@ at
ge@@ wachsen	grown
herunter@@ laden	down@@ load
hoff@@ nungen	hop@@ es
wohn@@ ungen	a@@ part@@ ments
ge@@ gessen	e@@ aten
attra@@ ktiv	attra@@ ctive
seltsam	weird
rö@@ hre	tube
moral@@ isch	mor@@ ally
psych@@ ologe	psych@@ ologist
existi@@ erte	exi@@ sted
tur@@ m	to@@ wer
aufge@@ zeichnet	recor@@ ded
dru@@ cker	prin@@ ter
vermitteln	con@@ vey
gal@@ er@@ ien	g@@ aller@@ ies
schn@@ elle	fast
schrift@@ steller	writer
lau@@ ter	lou@@ der
diszi@@ pl@@ inen	discipl@@ ines
ägyp@@ ter	eg@@ yp@@ ti@@ ans
anti@@ körper	anti@@ bodies
behinder@@ ung	dis@@ ability
la@@ dung	charge
frem@@ den	stran@@ ger
ersta@@ unt	ama@@ zed
vor@@ der@@ grund	fore@@ ground
lebens	lifetime
ursprün@@ ge	orig@@ ins
histor@@ isch	histor@@ ically
stir@@ n	fore@@ head
un@@ endlich	infin@@ itely
ge@@ fan@@ genen	pris@@ on@@ ers
an@@ streng@@ ung	effort
ku@@ chen	ca@@ ke
selbst@@ vertrauen	confidence
bei@@ trag	contribu@@ tion
künstler@@ ischen	arti@@ stic
eth@@ ische	eth@@ ical
gesundheitswesen	healthcare
kar@@ to@@ ff@@ eln	po@@ tat@@ o@@ es
un@@ gerechtigkeit	in@@ justice
schie@@ ßen	sho@@ ot
bau@@ er	farmer
mis@@ chung	mix@@ ture
mit@@ leid	p@@ ity
schreibt	wri@@ tes
einfach@@ ste	simpl@@ est
partner@@ schaften	partner@@ ships
teil@@ chen@@ physik	partic@@ le
vorher@@ sage	predi@@ ction
wün@@ sche	wi@@ sh@@ es
schei@@ ße	sh@@ it
ruhi@@ g	quie@@ t
er@@ hielt	received
hinder@@ nis	ob@@ stac@@ le
mü@@ cken	mo@@ squ@@ it@@ os
heili@@ ge	hol@@ y
be@@ ute	pre@@ y
sie@@ g	vic@@ tory
verur@@ teilt	con@@ vi@@ cted
sch@@ alter	switch
satelli@@ ten	satelli@@ tes
stärken	streng@@ ths
not@@ aufnahme	emergen@@ cy
mü@@ cke	mo@@ s@@ qui@@ to
eth@@ n@@ ische	eth@@ ni@@ c
begeistert	thri@@ ll@@ ed
entwickl@@ ungen	develop@@ ments
physi@@ ologie	physi@@ ology
po@@ len	po@@ land
amin@@ o@@ sä@@ uren	amin@@ o
bau@@ ch@@ spei@@ ch@@ el@@ drü@@ sen@@ krebs	pan@@ crea@@ tic
däch@@ er	roo@@ fs
berech@@ nung	compu@@ tation
unterschei@@ dung	distin@@ ction
frü@@ her@@ ken@@ nung	dete@@ ction
sch@@ ad@@ stoffe	pollu@@ tan@@ ts
doku@@ men@@ tieren	docum@@ ent
identi@@ täten	identi@@ ties
schwan@@ ger@@ schaft	preg@@ nan@@ cy
gewinn@@ t	w@@ ins
institu@@ tion@@ elle	institu@@ tional
ko@@ sm@@ ologie	co@@ sm@@ ology
archi@@ v	archi@@ ve
lebens@@ stil	lifest@@ yle
schrecklich	awful
vertei@@ digen	de@@ f@@ end
teil@@ nehmen	participa@@ te
scho@@ ck@@ iert	sho@@ cked
ge@@ teilt	divi@@ ded
emp@@ fehlen	re@@ com@@ men@@ d
bemü@@ h@@ ungen	eff@@ or@@ ts
be@@ decken	cover
bei@@ tragen	contribu@@ te
lehr@@ plan	cur@@ ri@@ cul@@ um
verzwei@@ felt	des@@ per@@ ately
kari@@ bi@@ k	car@@ ib@@ be@@ an
197@@ 0ern	197@@ 0s
versu@@ chung	temp@@ tation
schü@@ chtern	sh@@ y
versch@@ wand	disappe@@ ared
lun@@ gen@@ ent@@ z@@ ün@@ dung	p@@ ne@@ um@@ on@@ ia
produ@@ z@@ enten	produ@@ cers
proje@@ ktion	proje@@ ction
stimmung	mo@@ od
grundle@@ gend	fundament@@ ally
ausge@@ zeichnet	exc@@ ell@@ ent
kombin@@ iert	combin@@ ed
pri@@ or@@ ität	pri@@ ority
pu@@ ber@@ tät	pu@@ ber@@ ty
lau@@ t@@ sprecher	speak@@ er
be@@ frei@@ ung	liber@@ ation
astron@@ au@@ ten	astron@@ au@@ ts
ge@@ star@@ tet	launched
verletz@@ lich	vulnerable
strateg@@ ische	strate@@ gic
hell	bright
kle@@ ttern	clim@@ b
industri@@ en	industri@@ es
unter@@ schätzen	under@@ esti@@ mate
unterstützt	suppor@@ ted
re@@ zep@@ tor	re@@ cep@@ tor
repli@@ zieren	repli@@ cate
mal@@ er	pain@@ ter
kno@@ chen@@ mark	mar@@ row
kon@@ ne@@ k@@ tivität	connec@@ tivity
flü@@ cht@@ linge	re@@ fu@@ ge@@ es
ein@@ nahmen	re@@ venue
wähl@@ er	vot@@ ers
flu@@ ktu@@ ationen	flu@@ c@@ tu@@ ations
er@@ scho@@ ssen	shot
flu@@ gh@@ ä@@ fen	air@@ por@@ ts
kinder@@ si@@ tze	se@@ ats
leiter	la@@ d@@ der
ge@@ hö@@ r	hearing
neu	rein@@ vent@@ ing
besu@@ cht	vis@@ ited
ver@@ arbei@@ tung	process@@ ing
arbeits@@ lo@@ sigkeit	un@@ emplo@@ y@@ ment
fuhr	dro@@ ve
abschluss	degree
beri@@ chte	repor@@ ts
ras@@ s@@ ismus	ra@@ c@@ ism
konfer@@ en@@ zen	con@@ fer@@ ences
bereich	do@@ main
mo@@ sche@@ e	mo@@ squ@@ e
groß@@ zü@@ gi@@ gkeit	gener@@ osity
tu@@ gend	virtu@@ e
hand@@ voll	hand@@ ful
g@@ let@@ scher	gl@@ aci@@ ers
3@@ 0@@ 0.000	3@@ 0@@ 0,000
zwei@@ g	bran@@ ch
über@@ denken	re@@ think
ange@@ trieben	driven
umgebung	surro@@ und@@ ings
zer@@ brech@@ lich	fra@@ gi@@ le
schalt@@ kreis	circu@@ it
all@@ tag	everyday
beeindruck@@ end	impres@@ sive
natur@@ schutz	conser@@ vation
ir@@ anischen	ir@@ ani@@ an
an@@ wes@@ enheit	pres@@ ence
konfron@@ tiert	con@@ fron@@ ted
schla@@ gan@@ fall	stro@@ ke
migr@@ äne	migra@@ ine
kri@@ tiker	cri@@ tic
mensch@@ heits@@ geschichte	history
verletz@@ ungen	in@@ ju@@ ries
haus@@ halte	hou@@ se@@ hol@@ ds
cyber@@ krimin@@ ellen	cyber@@ crimin@@ als
ge@@ e@@ hrt	hon@@ or@@ ed
kultur@@ ell	cul@@ tur@@ ally
aus@@ län@@ dische	foreign
nigeri@@ anischen	nigeri@@ an
er@@ schw@@ ing@@ lich	aff@@ ord@@ able
vorberei@@ tung	prepar@@ ation
besteht	consi@@ sts
e@@ cken	cor@@ ners
199@@ 0ern	199@@ 0s
ver@@ letzt	hurt
ge@@ plant	plan@@ ned
zeit@@ gen@@ ö@@ ss@@ ische	con@@ temporary
aus@@ sterben	extin@@ ction
qu@@ al@@ itäten	quali@@ ties
sen@@ det	sen@@ ds
gefahren	dan@@ gers
benutz@@ er	user
fis@@ cher	fis@@ her@@ men
ak@@ a@@ dem@@ ischen	acade@@ mic
bogen	bo@@ w
ä@@ qui@@ valent	equivalent
be@@ wohner	resi@@ dents
kontrolli@@ erte	controlled
erscheint	appe@@ ars
195@@ 0ern	195@@ 0s
ehe@@ frau	wife
klar@@ heit	c@@ lar@@ ity
prin@@ z	prin@@ ce
wie@@ gen	wei@@ gh
wahl@@ möglichkeiten	choices
redu@@ ktion	redu@@ ction
offi@@ zi@@ ellen	offi@@ cial
sch@@ ot@@ t@@ land	scot@@ land
leiden@@ schaften	passi@@ ons
aufnahmen	foot@@ age
behör@@ den	auth@@ ori@@ ties
verfügung	provide
zieht	pul@@ ls
ta@@ ges@@ licht	da@@ y@@ light
wirtschaft@@ lich	econom@@ ically
ver@@ handlungen	negoti@@ ations
ökonom@@ ie	economics
christ@@ us	chr@@ ist
ab@@ gele@@ genen	remote
instal@@ la@@ tionen	instal@@ lations
ur@@ lau@@ b	vac@@ ation
motivi@@ ert	motiv@@ ated
ver@@ lu@@ ste	los@@ ses
korre@@ kt	cor@@ rect
jähr@@ liche	an@@ nu@@ al
sam@@ stag	satur@@ day
erweiter@@ ung	exten@@ sion
typ@@ is@@ cher@@ weise	typically
rela@@ tivi@@ tä@@ ts@@ theorie	rela@@ tivity
zu@@ fall	co@@ inci@@ dence
well@@ en@@ län@@ ge	wa@@ vel@@ ength
dar@@ stellung	repres@@ entation
anima@@ tionen	anima@@ tions
bi@@ ologe	biolog@@ ist
ko@@ oper@@ ieren	co@@ operate
arbeitsp@@ l@@ atz	work@@ place
behaup@@ ten	cla@@ im
human@@ it@@ ären	human@@ it@@ arian
nieder@@ landen	ne@@ ther@@ lands
histor@@ i@@ ker	histor@@ ian
beobachtet	watching
fr@@ ische	fresh
land@@ wirtschaftlichen	agri@@ cultural
ä@@ p@@ fel	ap@@ ples
ab@@ wes@@ enheit	ab@@ sen@@ ce
recht@@ fer@@ tigen	justi@@ fy
verwand@@ ten	rela@@ tives
ge@@ be@@ te	pra@@ yers
philosoph@@ ische	philosop@@ hi@@ cal
flie@@ ßt	flo@@ ws
reich@@ sten	rich@@ est
domin@@ iert	domin@@ ated
transpor@@ tiert	transpor@@ ted
ver@@ bran@@ nt	bur@@ ned
hand@@ fläche	pal@@ m
zä@@ hlt	coun@@ ts
be@@ zieht	re@@ f@@ ers
fotografi@@ en	photographs
n@@ ör@@ dlichen	northern
sch@@ lange	sna@@ ke
stör@@ ung	dis@@ order
krei@@ de	ch@@ al@@ k
gespro@@ ch@@ ene	spo@@ ken
ak@@ ade@@ mi@@ ker	acade@@ mi@@ cs
kari@@ kat@@ ur	carto@@ on
ob@@ da@@ ch@@ losen	hom@@ eless
öff@@ entlich	publi@@ c@@ ly
treibt	dri@@ ves
mor@@ d	mur@@ der
visu@@ ell	visu@@ ally
trauri@@ gkeit	sa@@ dness
erkenn@@ tnisse	insi@@ ghts
unabhängig	indepen@@ d@@ ently
verfüg@@ barkeit	avail@@ ability
schä@@ tz@@ ungen	esti@@ mates
statisti@@ k	stati@@ stic
finanzi@@ erung	fund@@ ing
ge@@ zä@@ hlt	coun@@ ted
persön@@ lichkeiten	person@@ ali@@ ties
pfei@@ le	ar@@ ro@@ ws
kol@@ li@@ sion	colli@@ sion
ein@@ stellungen	at@@ ti@@ tu@@ des
flie@@ gende	flying
bau	construction
kapit@@ ä@@ n	cap@@ tain
gra@@ b	gra@@ ve
nä@@ chte	ni@@ ghts
be@@ trie@@ bs@@ system	operating
rhyth@@ men	rhyth@@ ms
präsi@@ denten	presi@@ dents
lam@@ pe	lam@@ p
wa@@ schen	was@@ h
mittel@@ alter	ages
gewissen	con@@ science
todes@@ stra@@ fe	pen@@ al@@ ty
schlei@@ fe	loo@@ p
köni@@ ge	k@@ ings
baut	buil@@ ds
sch@@ ale	dis@@ h
ver@@ li@@ erer	lo@@ ser
papi@@ ere	pa@@ pers
posi@@ tionen	posi@@ tions
dien@@ stag	tu@@ es@@ day
pri@@ m@@ zahl	prime
schi@@ ffen	ships
hig@@ g@@ s-@@ teilchen	hig@@ gs
jahr@@ es@@ zeiten	seas@@ ons
voraus@@ sagen	predic@@ tions
sen@@ f	mu@@ star@@ d
la@@ dungen	char@@ ges
ur@@ he@@ ber@@ recht	copy@@ right
nor@@ den-@@ bom@@ ben@@ ziel@@ gerät	bom@@ b@@ sight
wa@@ ch	a@@ wake
er@@ for@@ dern	require
phili@@ pp@@ inen	phili@@ pp@@ ines
drücken	push
gen@@ es@@ ung	re@@ co@@ very
leuten	folks
ver@@ geb@@ ung	for@@ gi@@ ven@@ ess
gü@@ te	kin@@ dness
ka@@ tho@@ li@@ schen	ca@@ tho@@ lic
uns@@ inn	non@@ sense
ge@@ fr@@ oren	fro@@ zen
bibliothe@@ ken	libr@@ aries
scan@@ nen	scan
belo@@ hnt	re@@ war@@ ded
ahnung	clu@@ e
voll@@ stän@@ dige	complete
ver@@ schreiben	pres@@ cri@@ be
niedri@@ gsten	lo@@ west
spr@@ ingt	jum@@ ps
pfei@@ fen	whi@@ st@@ le
zehn@@ tel	tent@@ h
raum@@ zeit	spac@@ e-@@ time
gewal@@ tt@@ ä@@ tig	violent
tren@@ nung	separ@@ ation
bes@@ essen@@ heit	obs@@ ession
aktivi@@ ert	activ@@ ated
ange@@ gri@@ ffen	attac@@ ked
instal@@ liert	inst@@ all@@ ed
du@@ sche	sho@@ wer
offi@@ zi@@ ell	offi@@ cially
kür@@ zer	shor@@ ter
ein@@ richtung	facili@@ ty
drei@@ ecke	tri@@ an@@ gles
multi@@ pli@@ zieren	multi@@ p@@ ly
be@@ steh@@ ende	exi@@ sting
wil@@ dnis	wil@@ der@@ ness
heili@@ gen	sac@@ red
senden	sending
dom@@ inier@@ ende	domin@@ ant
beri@@ chtet	repor@@ ted
ak@@ z@@ ent	ac@@ cent
analy@@ siert	analy@@ zed
wo@@ chen@@ enden	wee@@ ken@@ ds
stelle	spot
del@@ f@@ in	dolph@@ in
gesp@@ ei@@ ch@@ ert	stor@@ ed
stand@@ ort	location
sitzt	si@@ ts
hört	he@@ ars
spiel@@ platz	play@@ ground
spek@@ ta@@ kul@@ äre	spec@@ tac@@ ular
den@@ ker	thin@@ kers
histor@@ ische	histor@@ ic
trug	wor@@ e
op@@ tische	op@@ tical
gelan@@ det	land@@ ed
leiden@@ schaft@@ lichen	passionate
beru@@ hi@@ gen	cal@@ m
beobach@@ ter	obser@@ ver
ur@@ teil	jud@@ gment
hörte	listen@@ ed
erkannt	recogni@@ zed
ge@@ bildet	educ@@ ated
kauft	bu@@ ys
erzeugt	gener@@ ates
weiter@@ geben	pass
fig@@ uren	fig@@ ures
caf@@ é	caf@@ e
bei@@ ge@@ tragen	contribu@@ ted
lö@@ schen	d@@ ele@@ te
sexu@@ alität	sexu@@ ality
war@@ nung	war@@ ning
über@@ wach@@ ung	sur@@ v@@ ei@@ llan@@ ce
wissenschaft@@ ler@@ in	scientist
wider@@ stehen	res@@ ist
mechan@@ isch	mechan@@ ically
schrift	writing
fil@@ me@@ macher	film@@ maker
baum@@ kr@@ onen	can@@ op@@ y
chemi@@ ker	chem@@ ist
hei@@ ß@@ er	hot@@ ter
ha@@ fen	h@@ arb@@ or
schn@@ ur@@ r@@ bart	mu@@ sta@@ che
ver@@ fassung	const@@ it@@ ution
daten@@ ban@@ ken	dat@@ ab@@ ases
ja@@ h@@ re@@ stag	an@@ ni@@ ver@@ s@@ ary
wander@@ tau@@ be	pi@@ ge@@ on
tu@@ ber@@ ku@@ lose	tu@@ ber@@ cu@@ los@@ is
qu@@ anten@@ theorie	quant@@ um
deser@@ ti@@ fi@@ kation	deser@@ ti@@ fication
chron@@ ischen	chr@@ onic
mul@@ tin@@ a@@ tion@@ alen	mul@@ tin@@ a@@ tional
verbreitung	pre@@ val@@ ence
krimin@@ elle	crimin@@ als
son@@ de	probe
an@@ äs@@ thes@@ ie	an@@ es@@ thes@@ ia
pho@@ en@@ i@@ x@@ inseln	pho@@ en@@ i@@ x
wohn@@ wagen	tra@@ il@@ er
ver@@ ben	ver@@ bs
groß@@ zü@@ gi@@ g	gener@@ ous
sti@@ ft@@ ungen	foun@@ da@@ tions
gefäng@@ nisse	pris@@ ons
genauso	equ@@ ally
er@@ schö@@ pft	ex@@ hau@@ sted
ge@@ halt	sal@@ ary
fin@@ n@@ land	fin@@ land
athei@@ s@@ mus	athei@@ s@@ m
be@@ w@@ un@@ dern	ad@@ mi@@ re
hinter@@ h@@ of	back@@ y@@ ard
strat@@ o@@ sphäre	strat@@ o@@ sphere
ge@@ trei@@ de	grain
raum@@ station	station
ent@@ wal@@ dung	de@@ for@@ est@@ ation
an@@ zeichen	sig@@ ns
er@@ holen	re@@ cover
aus@@ rede	exc@@ use
be@@ än@@ g@@ sti@@ gend	sc@@ ary
stand@@ punkt	stand@@ point
anthropo@@ lo@@ gen	anthropo@@ logi@@ sts
mit@@ fühl@@ end	com@@ passionate
erfü@@ llen	ful@@ fill
fort@@ gesch@@ ri@@ tt@@ ene	advanced
tin@@ ten@@ fisch	squ@@ id
wieder@@ holt	repe@@ at@@ ed@@ ly
mathemati@@ sch	mathema@@ tically
stati@@ stische	statisti@@ cal
beding@@ ung	condition
verk@@ auf	s@@ ale
verpflich@@ tung	commit@@ ment
klin@@ isch	clin@@ ically
he@@ mis@@ ph@@ äre	he@@ mis@@ ph@@ ere
be@@ antwor@@ tet	ans@@ wer@@ ed
is@@ st	e@@ ats
hinter@@ lassen	leaving
hö@@ chst	highly
ein@@ stellen	hi@@ re
einrichtungen	facili@@ ties
wider@@ stand@@ s@@ fähigkeit	resili@@ ence
ell@@ en@@ bogen	el@@ bo@@ w
be@@ er@@ digung	fun@@ er@@ al
ver@@ geben	for@@ give
ehen	marri@@ ages
zu@@ frieden	satis@@ fied
